"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Mr. Sun, Sun, Mr. Golden Sun. Please shine down on me forever, thanks.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","We have newsletters to help you stay in the loop AND newsletters to help you forget! Try one today!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","My apologies to your wallet.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","I need to lie down.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Footage shows the self-help guru using the n-word repeatedly and describing how he responded to a skeptical participant by getting “in her face” and kissing her.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","The energy these transformations have >>>>>>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","This hair. This 'fit. THIS ENERGY >>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","We put these things in a million posts for a reason: People freakin’ love them!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Ingenuity is their first, middle and last name.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","No one cares about people “ruining” the things we loved when we were growing up — but that doesn’t change the fact that the new Aladdin is objectively terrible.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Zach and Gadiel attempt to survive the this totally accurate warfare game!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Multiplayer by BuzzFeed",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","These would have been better than the actual ending tbh.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","""For you and Jordyn, it's like a divorce.""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","“It gave me a place to take Arya that I never thought I’d go with her again.”",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","From viral prom queen to fashion school grad!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Before Pilou (Euron Greyjoy) became an actor, he was a nanny for Nikolaj's (Jaime Lannister) children.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Eat your way to your perfect place.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","These were the highlights of the final season.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Dust, declutter, and dump everything you don't need.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","""Grade A. Text book. Sexual Harassment""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","BuzzFeed Video",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","""This is why we deserve all the things."" –Moms",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","I love this song!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Hungry? Let's grill.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","What is memed may never die.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Unleash your inner Salazar.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Picture it: Sicily, 1922.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","Some aren't so obvious...",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","We don't deserve grandparents. 😭",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","""I can't move, everything is about to fall out.""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","BuzzFeed Video",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","*Takes two naps a day.*",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Browse Sections","BuzzFeed has breaking news, vital journalism, quizzes, videos, celeb news, Tasty food videos, recipes, DIY hacks, and all the trending buzz you’ll want to share with your friends. Copyright BuzzFeed, Inc. All rights reserved.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Mr. Sun, Sun, Mr. Golden Sun. Please shine down on me forever, thanks.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"We have newsletters to help you stay in the loop AND newsletters to help you forget! Try one today!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"My apologies to your wallet.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"I need to lie down.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Footage shows the self-help guru using the n-word repeatedly and describing how he responded to a skeptical participant by getting “in her face” and kissing her.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"The energy these transformations have >>>>>>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"This hair. This 'fit. THIS ENERGY >>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"We put these things in a million posts for a reason: People freakin’ love them!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Ingenuity is their first, middle and last name.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"No one cares about people “ruining” the things we loved when we were growing up — but that doesn’t change the fact that the new Aladdin is objectively terrible.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Zach and Gadiel attempt to survive the this totally accurate warfare game!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Multiplayer by BuzzFeed",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"These would have been better than the actual ending tbh.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"""For you and Jordyn, it's like a divorce.""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"“It gave me a place to take Arya that I never thought I’d go with her again.”",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"From viral prom queen to fashion school grad!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Before Pilou (Euron Greyjoy) became an actor, he was a nanny for Nikolaj's (Jaime Lannister) children.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Eat your way to your perfect place.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"These were the highlights of the final season.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Dust, declutter, and dump everything you don't need.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"""Grade A. Text book. Sexual Harassment""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"BuzzFeed Video",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"""This is why we deserve all the things."" –Moms",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"I love this song!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Hungry? Let's grill.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"What is memed may never die.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Unleash your inner Salazar.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Picture it: Sicily, 1922.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"Some aren't so obvious...",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"We don't deserve grandparents. 😭",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"""I can't move, everything is about to fall out.""",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"BuzzFeed Video",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"*Takes two naps a day.*",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home",About,"BuzzFeed has breaking news, vital journalism, quizzes, videos, celeb news, Tasty food videos, recipes, DIY hacks, and all the trending buzz you’ll want to share with your friends. Copyright BuzzFeed, Inc. All rights reserved.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","Mr. Sun, Sun, Mr. Golden Sun. Please shine down on me forever, thanks.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","We have newsletters to help you stay in the loop AND newsletters to help you forget! Try one today!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","My apologies to your wallet.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","I need to lie down.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","Footage shows the self-help guru using the n-word repeatedly and describing how he responded to a skeptical participant by getting “in her face” and kissing her.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","The energy these transformations have >>>>>>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","This hair. This 'fit. THIS ENERGY >>>>>",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","We put these things in a million posts for a reason: People freakin’ love them!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","Ingenuity is their first, middle and last name.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","No one cares about people “ruining” the things we loved when we were growing up — but that doesn’t change the fact that the new Aladdin is objectively terrible.",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","Zach and Gadiel attempt to survive the this totally accurate warfare game!",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","Multiplayer by BuzzFeed",,
,Headline,Enabled,All,https://www.buzzfeed.com/,"BuzzFeed Home","Iceland’s Blue Lagoon Looks Really Different On Instagram And In Real Life","These would have been better than the actual ending tbh.",,
