"Ad Group","Click type","Ad status","Device preference","Final URL","Headline 1","Headline 2",Description,"Path 1","Path 2"
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Satisfaction Guaranteed","Let our energy specialists design a system to fit your comfort and budget.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Satisfaction Guaranteed","$1650 manufacturer rebate. Plus, receive up to $650 in M.I.D or T.I.D rebates.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Satisfaction Guaranteed","When installing your air conditioning system, there are many things to consider.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Lowest Price Guaranteed","Let our energy specialists design a system to fit your comfort and budget.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Lowest Price Guaranteed","$1650 manufacturer rebate. Plus, receive up to $650 in M.I.D or T.I.D rebates.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Lowest Price Guaranteed","When installing your air conditioning system, there are many things to consider.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Get a FREE Estimate Now","Let our energy specialists design a system to fit your comfort and budget.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Get a FREE Estimate Now","$1650 manufacturer rebate. Plus, receive up to $650 in M.I.D or T.I.D rebates.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Get a FREE Estimate Now","When installing your air conditioning system, there are many things to consider.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Love's Heating & Air","Let our energy specialists design a system to fit your comfort and budget.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Love's Heating & Air","$1650 manufacturer rebate. Plus, receive up to $650 in M.I.D or T.I.D rebates.",air-conditioner,installation
"AC Installation",Headline,Enabled,All,https://www.lovesair.net/air-conditioner-installation-replacement/,"AC Installation & Replacement","Love's Heating & Air","When installing your air conditioning system, there are many things to consider.",air-conditioner,installation
